✅ Weltenbibliothek mit OpenClaw-Integration läuft auf Port 5060
10.64.1.202 - - [27/Feb/2026 23:18:11] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:11] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:12] "GET /service-worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:12] "GET /manifest.json HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:12] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:18:12] "GET /icons/icon-192x192.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:18:12] code 404, message File not found
10.64.1.202 - - [27/Feb/2026 23:18:12] "GET /icons/icon-512x512.png HTTP/1.1" 404 -
10.64.1.202 - - [27/Feb/2026 23:18:13] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:13] "GET /main.dart.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:13] "GET /index.html HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:13] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:13] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:13] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.1.202 - - [27/Feb/2026 23:18:14] "GET /flutter_service_worker.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:15] "GET /assets/fonts/MaterialIcons-Regular.otf HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:15] "GET /assets/packages/cupertino_icons/assets/CupertinoIcons.ttf HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:15] "GET / HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:15] "GET /audio_player.js HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:15] "GET /flutter_service_worker.js?v=4107385240 HTTP/1.1" 304 -
10.64.1.202 - - [27/Feb/2026 23:18:16] "GET /index.html HTTP/1.1" 200 -
