Serving HTTP on 0.0.0.0 port 5060 (http://0.0.0.0:5060/) ...
10.64.32.198 - - [07/Feb/2026 20:52:34] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:35] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:52:35] "GET /flutter_bootstrap.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:35] "GET /main.dart.js HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:35] "GET /index.html HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:35] "GET /assets/AssetManifest.bin.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:35] "GET /assets/FontManifest.json HTTP/1.1" 200 -
10.64.32.198 - - [07/Feb/2026 20:52:37] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:53:34] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:54:34] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:55:34] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:56:34] "GET /flutter_service_worker.js?v=1814247565 HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:57:00] "GET /assets/AssetManifest.bin.json HTTP/1.1" 304 -
10.64.32.198 - - [07/Feb/2026 20:57:01] "GET /assets/assets/images/portal_energy_vortex.webp HTTP/1.1" 304 -
